repository,commit_sha,experiment,reuse_mode,selected_path,path_status,operation,platform,python_requirement,compiler_or_runtime,smoke_command,smoke_status,classification,license_status,license_spdx,disk_bytes,download_bytes,blocker,notes
act,742c753c0d4a5d87076c8f69e5628c79a8cc5488,02_action_chunks,SPARSE_REFERENCE,detr,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
act,742c753c0d4a5d87076c8f69e5628c79a8cc5488,02_action_chunks,SPARSE_REFERENCE,imitate_episodes.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
act,742c753c0d4a5d87076c8f69e5628c79a8cc5488,02_action_chunks,SPARSE_REFERENCE,policy.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
act,742c753c0d4a5d87076c8f69e5628c79a8cc5488,02_action_chunks,SPARSE_REFERENCE,sim_env.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
act,742c753c0d4a5d87076c8f69e5628c79a8cc5488,07_specialist_skill,SPARSE_REFERENCE,detr,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
act,742c753c0d4a5d87076c8f69e5628c79a8cc5488,07_specialist_skill,SPARSE_REFERENCE,imitate_episodes.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
act,742c753c0d4a5d87076c8f69e5628c79a8cc5488,07_specialist_skill,SPARSE_REFERENCE,policy.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
act,742c753c0d4a5d87076c8f69e5628c79a8cc5488,07_specialist_skill,SPARSE_REFERENCE,sim_env.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
behaviortree_cpp,c88a9f429a421b312599a07fa8902524b09bf90a,03_recovery,SPARSE_REFERENCE,examples,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
behaviortree_cpp,c88a9f429a421b312599a07fa8902524b09bf90a,03_recovery,SPARSE_REFERENCE,include/behaviortree_cpp,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
behaviortree_cpp,c88a9f429a421b312599a07fa8902524b09bf90a,03_recovery,SPARSE_REFERENCE,tests,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
behaviortree_cpp,c88a9f429a421b312599a07fa8902524b09bf90a,09_mini_reflect,SPARSE_REFERENCE,examples,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
behaviortree_cpp,c88a9f429a421b312599a07fa8902524b09bf90a,09_mini_reflect,SPARSE_REFERENCE,include/behaviortree_cpp,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
behaviortree_cpp,c88a9f429a421b312599a07fa8902524b09bf90a,09_mini_reflect,SPARSE_REFERENCE,tests,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,04_memory,DEFERRED,README.md,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,04_memory,DEFERRED,conceptgraph/scenegraph,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,04_memory,DEFERRED,conceptgraph/slam,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,04_memory,DEFERRED,scripts,MISSING,,,,,,NOT_RUN,PATH_CHANGED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,05_semantic_twin,DEFERRED,README.md,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,05_semantic_twin,DEFERRED,conceptgraph/scenegraph,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,05_semantic_twin,DEFERRED,conceptgraph/slam,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,05_semantic_twin,DEFERRED,scripts,MISSING,,,,,,NOT_RUN,PATH_CHANGED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,10_r2s2r,DEFERRED,README.md,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,10_r2s2r,DEFERRED,conceptgraph/scenegraph,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,10_r2s2r,DEFERRED,conceptgraph/slam,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
conceptgraphs,93277a02bd89171f8121e84203121cf7af9ebb5d,10_r2s2r,DEFERRED,scripts,MISSING,,,,,,NOT_RUN,PATH_CHANGED,DISCOVERED,MIT,0,0,,
curobo,8e734f3ced1df898990bcd92de40abce475907db,01_policy_control,REMOTE_ONLY,docs,EXISTS,,,,,,NOT_RUN,LICENSE_REVIEW_REQUIRED,UNKNOWN,,0,0,,
curobo,8e734f3ced1df898990bcd92de40abce475907db,01_policy_control,REMOTE_ONLY,examples,MISSING,,,,,,NOT_RUN,PATH_CHANGED,UNKNOWN,,0,0,,
curobo,8e734f3ced1df898990bcd92de40abce475907db,01_policy_control,REMOTE_ONLY,src/curobo,MISSING,,,,,,NOT_RUN,PATH_CHANGED,UNKNOWN,,0,0,,
curobo,8e734f3ced1df898990bcd92de40abce475907db,08_unitree_r1,REMOTE_ONLY,docs,EXISTS,,,,,,NOT_RUN,LICENSE_REVIEW_REQUIRED,UNKNOWN,,0,0,,
curobo,8e734f3ced1df898990bcd92de40abce475907db,08_unitree_r1,REMOTE_ONLY,examples,MISSING,,,,,,NOT_RUN,PATH_CHANGED,UNKNOWN,,0,0,,
curobo,8e734f3ced1df898990bcd92de40abce475907db,08_unitree_r1,REMOTE_ONLY,src/curobo,MISSING,,,,,,NOT_RUN,PATH_CHANGED,UNKNOWN,,0,0,,
diffusion_policy,5ba07ac6661db573af695b419a7947ecb704690f,06_world_model,SPARSE_REFERENCE,diffusion_policy/config/task/pusht_image.yaml,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
diffusion_policy,5ba07ac6661db573af695b419a7947ecb704690f,06_world_model,SPARSE_REFERENCE,diffusion_policy/dataset/pusht_image_dataset.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
diffusion_policy,5ba07ac6661db573af695b419a7947ecb704690f,06_world_model,SPARSE_REFERENCE,diffusion_policy/env/pusht,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
diffusion_policy,5ba07ac6661db573af695b419a7947ecb704690f,06_world_model,SPARSE_REFERENCE,diffusion_policy/env_runner/pusht_image_runner.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
diffusion_policy,5ba07ac6661db573af695b419a7947ecb704690f,07_specialist_skill,SPARSE_REFERENCE,diffusion_policy/config/task/pusht_image.yaml,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
diffusion_policy,5ba07ac6661db573af695b419a7947ecb704690f,07_specialist_skill,SPARSE_REFERENCE,diffusion_policy/dataset/pusht_image_dataset.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
diffusion_policy,5ba07ac6661db573af695b419a7947ecb704690f,07_specialist_skill,SPARSE_REFERENCE,diffusion_policy/env/pusht,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
diffusion_policy,5ba07ac6661db573af695b419a7947ecb704690f,07_specialist_skill,SPARSE_REFERENCE,diffusion_policy/env_runner/pusht_image_runner.py,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
dino_wm,0a9492fa12044b852ae9e001cc74604b79c8bb0c,06_world_model,SPARSE_REFERENCE,conf,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
dino_wm,0a9492fa12044b852ae9e001cc74604b79c8bb0c,06_world_model,SPARSE_REFERENCE,env,EXISTS,,,,,,NOT_RUN,NOT_EVALUATED,DISCOVERED,MIT,0,0,,
