storage_variant,trigger_variant,disturbance_family,severity,horizon,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46176,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,176.0,2.0,28.271875
EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,8,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46176,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,176.0,4.0,28.271875
EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46176,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,176.0,6.0,28.271875
EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,LOW,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46089,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,89.0,2.0,28.186914
EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,LOW,8,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46089,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,89.0,4.0,28.186914
EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,LOW,12,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46089,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,89.0,6.0,28.186914
EPISODIC_ONLY,EVENT_DRIVEN,CONTROL_FAILURE,HIGH,4,20,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.46079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,2.0,1.0,79.0,3.0,30.177148
EPISODIC_ONLY,EVENT_DRIVEN,CONTROL_FAILURE,HIGH,8,20,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.46079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,2.0,1.0,79.0,5.0,30.177148
EPISODIC_ONLY,EVENT_DRIVEN,CONTROL_FAILURE,HIGH,12,20,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.46079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,2.0,1.0,79.0,7.0,30.177148
EPISODIC_ONLY,EVENT_DRIVEN,CONTROL_FAILURE,LOW,4,20,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.46079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,2.0,1.0,79.0,3.0,30.177148
EPISODIC_ONLY,EVENT_DRIVEN,CONTROL_FAILURE,LOW,8,20,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.46079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,2.0,1.0,79.0,5.0,30.177148
EPISODIC_ONLY,EVENT_DRIVEN,CONTROL_FAILURE,LOW,12,20,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.46079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,2.0,1.0,79.0,7.0,30.177148
EPISODIC_ONLY,EVENT_DRIVEN,POSE_SHIFT,HIGH,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.4608765,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,87.65,2.0,28.18559585
EPISODIC_ONLY,EVENT_DRIVEN,POSE_SHIFT,HIGH,8,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.4608765,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,87.65,4.0,28.18559585
