disturbance_family,severity,horizon,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
AVAILABILITY_LOSS,HIGH,4,500,0.552,0.664,2.598,0.018,2.718,0.64,2.492,1.852,3.64,0.5767854,0.22224,0.1456,0.84114286,3.64,3.64,0.2,0.448,2.492,2.4,362.54,4.536,40.08664299
AVAILABILITY_LOSS,HIGH,8,500,0.534,0.71775,3.562,0.676,3.722,1.36,3.336,1.976,4.83,0.7711542,0.23712,0.1932,1.16994447,4.83,4.83,0.2,0.466,3.336,2.72,387.42,7.372,51.46913987
AVAILABILITY_LOSS,HIGH,12,500,0.534,0.73566681,4.308,0.916,3.948,1.88,3.922,2.042,5.402,0.9058758,0.24504,0.21608,0.76819699,5.402,5.402,0.2,0.466,3.922,2.64,381.58,9.75,58.76073674
AVAILABILITY_LOSS,LOW,4,500,0.64,0.73,2.32,0.0,2.44,0.56,2.2,1.64,3.0,0.5092694,0.1968,0.12,0.73428572,3.0,3.0,0.2,0.36,2.2,1.6,326.94,4.16,34.98927738
AVAILABILITY_LOSS,LOW,8,500,0.6,0.77,3.32,0.72,3.48,1.32,3.12,1.8,4.24,0.7211182,0.216,0.1696,1.13222224,4.24,4.24,0.2,0.4,3.12,1.92,351.82,7.2,47.37957428
AVAILABILITY_LOSS,LOW,12,500,0.6,0.7866668,3.92,1.0,3.56,1.76,3.6,1.84,4.56,0.8314598,0.2208,0.1824,0.69303032,4.56,4.56,0.2,0.4,3.6,1.84,345.98,9.52,52.99787112
CONTROL_FAILURE,HIGH,4,500,1.0,1.0,1.16,0.08,2.68,0.64,2.12,1.48,2.16,0.4903902,0.1776,0.0864,1.12,0.0,2.16,0.2,0.0,2.12,0.64,279.02,5.12,31.81848047
CONTROL_FAILURE,HIGH,8,500,1.0,1.0,1.32,0.8,3.56,1.28,2.88,1.6,2.4,0.6652518,0.192,0.096,1.3,0.0,2.4,0.2,0.0,2.88,0.72,285.18,8.48,40.42249615
CONTROL_FAILURE,HIGH,12,500,1.0,1.0,1.52,1.6,3.88,1.96,3.56,1.6,2.56,0.821775,0.192,0.1024,1.6,0.0,2.56,0.2,0.0,3.56,0.88,297.5,11.68,47.58852739
CONTROL_FAILURE,LOW,4,500,1.0,1.0,0.0,0.0,2.2,0.24,1.6,1.36,1.0,0.3706054,0.1632,0.04,0.6,0.0,1.0,0.0,0.0,1.6,0.4,260.54,4.2,23.77443357
CONTROL_FAILURE,LOW,8,500,1.0,1.0,0.0,1.0,3.2,0.96,2.4,1.44,1.0,0.5546054,0.1728,0.04,0.8,0.0,1.0,0.0,0.0,2.4,0.4,260.54,7.4,32.13443357
CONTROL_FAILURE,LOW,12,500,1.0,1.0,0.0,1.6,4.0,1.36,2.8,1.44,1.0,0.6466054,0.1728,0.04,1.2,0.0,1.0,0.0,0.0,2.8,0.4,260.54,10.6,36.15443357
POSE_SHIFT,HIGH,4,500,0.64,0.73,2.32,0.0,2.44,0.56,2.2,1.64,3.0,0.5092564,0.1968,0.12,0.73428572,3.0,3.0,0.2,0.36,2.2,1.6,325.64,4.16,34.98800788
POSE_SHIFT,HIGH,8,500,0.6,0.77,3.32,0.72,3.48,1.32,3.12,1.8,4.24,0.7211052,0.216,0.1696,1.13222224,4.24,4.24,0.2,0.4,3.12,1.92,350.52,7.2,47.37830475
POSE_SHIFT,HIGH,12,500,0.6,0.7866668,3.92,1.0,3.56,1.76,3.6,1.84,4.56,0.8314468,0.2208,0.1824,0.69303032,4.56,4.56,0.2,0.4,3.6,1.84,344.68,9.52,52.99660161
POSE_SHIFT,LOW,4,500,0.64,0.73,2.32,0.0,2.44,0.56,2.2,1.64,3.0,0.5092548,0.1968,0.12,0.73428572,3.0,3.0,0.2,0.36,2.2,1.6,325.48,4.16,34.98785167
POSE_SHIFT,LOW,8,500,0.6,0.77,3.32,0.72,3.48,1.32,3.12,1.8,4.24,0.7211036,0.216,0.1696,1.13222224,4.24,4.24,0.2,0.4,3.12,1.92,350.36,7.2,47.37814852
POSE_SHIFT,LOW,12,500,0.6,0.7866668,3.92,1.0,3.56,1.76,3.6,1.84,4.56,0.8314452,0.2208,0.1824,0.69303032,4.56,4.56,0.2,0.4,3.6,1.84,344.52,9.52,52.99644539
RESTRICTION_CHANGE,HIGH,4,500,0.552,0.664,2.598,0.018,2.718,0.64,2.492,1.852,3.64,0.5766734,0.22224,0.1456,0.84114286,3.64,3.64,0.2,0.448,2.492,2.4,351.34,4.536,40.07570557
RESTRICTION_CHANGE,HIGH,8,500,0.534,0.71775,3.562,0.676,3.722,1.36,3.336,1.976,4.83,0.7710422,0.23712,0.1932,1.16994447,4.83,4.83,0.2,0.466,3.336,2.72,376.22,7.372,51.45820239
