episode_id,seed,storage_variant,trigger_variant,disturbance_family,severity,horizon,planner_id,claim_scope,completion,progress,repeated_failures,false_triggers,late_trigger_ticks,wasted_triggers,semantic_wakes,motion_wakes,control_wakes,semantic_latency_proxy_ms,motion_latency_proxy_ms,control_latency_proxy_ms,trigger_latency_ticks_mean,retries,escalations,aborts,stale_decisions,storage_reads,storage_writes,storage_bytes,storage_age_ticks,budget_cost_proxy
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265201,20265201,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265202,20265202,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265203,20265203,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265204,20265204,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265205,20265205,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265206,20265206,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265207,20265207,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265208,20265208,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265209,20265209,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
EPISODIC_ONLY__EVENT_DRIVEN__AVAILABILITY_LOSS__HIGH__H12__S20265210,20265210,EPISODIC_ONLY,EVENT_DRIVEN,AVAILABILITY_LOSS,HIGH,12,ORACLE_TYPED_SEMANTIC_V2,SYNTHETIC_WHITE_BOX_ENGINEERING_ORACLE_NOT_VLA,1,1.0,0,0,0,0,2,2,0,0.46176,0.24,0.0,0.0,0,0,0,0,2,2,176,6,28.271875
