bootstrap_draws,candidate,comparator,contrast,effective_seed_n,estimate,metric,q025,q975,seed_cluster_sha256
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,0.40833333,completion,0.375,0.44166667,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,0.04565968,progress,0.04079856,0.0505208,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,-1.34166667,late_trigger_ticks,-1.375,-1.30833333,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,0.04166667,wasted_triggers,0.04166667,0.04166667,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,0.8025,budget_cost_proxy,0.30083333,1.30416667,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,0.0,completion,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,0.0,progress,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,-1.45833333,late_trigger_ticks,-1.45833333,-1.45833333,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,1.33333333,wasted_triggers,1.33333333,1.33333333,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,13.40000003,budget_cost_proxy,13.4,13.40000006,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,0.0,completion,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,0.0,progress,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,-0.70833333,late_trigger_ticks,-0.70833333,-0.70833333,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,0.08333333,wasted_triggers,0.08333333,0.08333333,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,-0.1625,budget_cost_proxy,-0.1625,-0.1625,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,0.0,completion,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,0.0,progress,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
