disturbance_family,severity,horizon,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
AVAILABILITY_LOSS,HIGH,4,500,0.552,0.664,2.598,0.018,2.718,0.64,2.492,1.852,3.64,0.5767872,0.22224,0.1456,0.84114286,3.64,3.64,0.2,0.448,2.492,2.4,362.72,4.536,40.08681876
AVAILABILITY_LOSS,HIGH,8,500,0.534,0.71775,3.562,0.676,3.722,1.36,3.336,1.976,4.83,0.771156,0.23712,0.1932,1.16994447,4.83,4.83,0.2,0.466,3.336,2.72,387.6,7.372,51.46931564
AVAILABILITY_LOSS,HIGH,12,500,0.534,0.73566681,4.308,0.916,3.948,1.88,3.922,2.042,5.402,0.9058776,0.24504,0.21608,0.76819699,5.402,5.402,0.2,0.466,3.922,2.64,381.76,9.75,58.76091251
AVAILABILITY_LOSS,LOW,4,500,0.64,0.73,2.32,0.0,2.44,0.56,2.2,1.64,3.0,0.5092712,0.1968,0.12,0.73428572,3.0,3.0,0.2,0.36,2.2,1.6,327.12,4.16,34.98945313
AVAILABILITY_LOSS,LOW,8,500,0.6,0.77,3.32,0.72,3.48,1.32,3.12,1.8,4.24,0.72112,0.216,0.1696,1.13222224,4.24,4.24,0.2,0.4,3.12,1.92,352.0,7.2,47.37975004
AVAILABILITY_LOSS,LOW,12,500,0.6,0.7866668,3.92,1.0,3.56,1.76,3.6,1.84,4.56,0.8314616,0.2208,0.1824,0.69303032,4.56,4.56,0.2,0.4,3.6,1.84,346.16,9.52,52.99804688
CONTROL_FAILURE,HIGH,4,500,1.0,1.0,1.16,0.08,2.68,0.64,2.12,1.48,2.16,0.490392,0.1776,0.0864,1.12,0.0,2.16,0.2,0.0,2.12,0.64,279.2,5.12,31.81865623
CONTROL_FAILURE,HIGH,8,500,1.0,1.0,1.32,0.8,3.56,1.28,2.88,1.6,2.4,0.6652536,0.192,0.096,1.3,0.0,2.4,0.2,0.0,2.88,0.72,285.36,8.48,40.42267191
CONTROL_FAILURE,HIGH,12,500,1.0,1.0,1.52,1.6,3.88,1.96,3.56,1.6,2.56,0.8217768,0.192,0.1024,1.6,0.0,2.56,0.2,0.0,3.56,0.88,297.68,11.68,47.58870315
CONTROL_FAILURE,LOW,4,500,1.0,1.0,0.0,0.0,2.2,0.24,1.6,1.36,1.0,0.3706072,0.1632,0.04,0.6,0.0,1.0,0.0,0.0,1.6,0.4,260.72,4.2,23.77460933
CONTROL_FAILURE,LOW,8,500,1.0,1.0,0.0,1.0,3.2,0.96,2.4,1.44,1.0,0.5546072,0.1728,0.04,0.8,0.0,1.0,0.0,0.0,2.4,0.4,260.72,7.4,32.13460933
CONTROL_FAILURE,LOW,12,500,1.0,1.0,0.0,1.6,4.0,1.36,2.8,1.44,1.0,0.6466072,0.1728,0.04,1.2,0.0,1.0,0.0,0.0,2.8,0.4,260.72,10.6,36.15460933
POSE_SHIFT,HIGH,4,500,0.64,0.73,2.32,0.0,2.44,0.56,2.2,1.64,3.0,0.5092578,0.1968,0.12,0.73428572,3.0,3.0,0.2,0.36,2.2,1.6,325.78,4.16,34.9881446
POSE_SHIFT,HIGH,8,500,0.6,0.77,3.32,0.72,3.48,1.32,3.12,1.8,4.24,0.7211066,0.216,0.1696,1.13222224,4.24,4.24,0.2,0.4,3.12,1.92,350.66,7.2,47.37844147
POSE_SHIFT,HIGH,12,500,0.6,0.7866668,3.92,1.0,3.56,1.76,3.6,1.84,4.56,0.8314482,0.2208,0.1824,0.69303032,4.56,4.56,0.2,0.4,3.6,1.84,344.82,9.52,52.99673832
POSE_SHIFT,LOW,4,500,0.64,0.73,2.32,0.0,2.44,0.56,2.2,1.64,3.0,0.5092582,0.1968,0.12,0.73428572,3.0,3.0,0.2,0.36,2.2,1.6,325.82,4.16,34.98818366
POSE_SHIFT,LOW,8,500,0.6,0.77,3.32,0.72,3.48,1.32,3.12,1.8,4.24,0.721107,0.216,0.1696,1.13222224,4.24,4.24,0.2,0.4,3.12,1.92,350.7,7.2,47.37848053
POSE_SHIFT,LOW,12,500,0.6,0.7866668,3.92,1.0,3.56,1.76,3.6,1.84,4.56,0.8314486,0.2208,0.1824,0.69303032,4.56,4.56,0.2,0.4,3.6,1.84,344.86,9.52,52.99677738
RESTRICTION_CHANGE,HIGH,4,500,0.552,0.664,2.598,0.018,2.718,0.64,2.492,1.852,3.64,0.5766752,0.22224,0.1456,0.84114286,3.64,3.64,0.2,0.448,2.492,2.4,351.52,4.536,40.07588134
RESTRICTION_CHANGE,HIGH,8,500,0.534,0.71775,3.562,0.676,3.722,1.36,3.336,1.976,4.83,0.771044,0.23712,0.1932,1.16994447,4.83,4.83,0.2,0.466,3.336,2.72,376.4,7.372,51.45837816
RESTRICTION_CHANGE,HIGH,12,500,0.534,0.73566681,4.308,0.916,3.948,1.88,3.922,2.042,5.402,0.9057656,0.24504,0.21608,0.76819699,5.402,5.402,0.2,0.466,3.922,2.64,370.56,9.75,58.74997506
