storage_variant,trigger_policy,quality_id,effective_n,estimate,ci_low,ci_high,draw_indices_sha256
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,12,1.0,1.0,1.0,e25260e64229797b39a95de4662b63b7fa9917117d20faee6ae5c0ef90843ea9
LIVE_BELIEF,EVENT_DRIVEN,Q01_RECALL75,12,0.812985,0.770833,0.857639,dee0d68a3620e7eb958be7a16b120cd8b92c43ba766361077b388bb3d1bb94f1
LIVE_BELIEF,EVENT_DRIVEN,Q02_RECALL50,12,0.659556,0.600694,0.71875,884a682d1f2428aa2c9b4cfa48dcd1f2010610ac62ee96df5ac7dec37106de8a
LIVE_BELIEF,EVENT_DRIVEN,Q03_RECALL25,12,0.503118,0.447917,0.5625,8ee079dbb875ad5966dcd2c6e969c950dc670f02f7fd03cec334714ad04509aa
LIVE_BELIEF,EVENT_DRIVEN,Q04_DELAY1,12,1.0,1.0,1.0,efe3585791dcf1188d5c9478cec968eadd06a030092e862462ea86da8c38fb57
LIVE_BELIEF,EVENT_DRIVEN,Q05_DELAY3,12,1.0,1.0,1.0,a2838cfc64d979bfd7e15e6f02638dee3a213520ce4f50da1b35eea78bd6a139
LIVE_BELIEF,EVENT_DRIVEN,Q06_FALSE3,12,1.0,1.0,1.0,a4ad0876455e0dfa29b1eefd60a099a319d6247a76ff3bb0689e2e1f033dea69
LIVE_BELIEF,EVENT_DRIVEN,Q07_DUP_OOO,12,1.0,1.0,1.0,7be78687bd3786e02893be7b9f70878aab0092c138eda8164995a04ed426f9f5
LIVE_BELIEF,EVENT_DRIVEN,Q08_GUARDED,12,0.812678,0.770833,0.857639,b1293e8b39b4f218a6c572816ed514a8e5da0647c184ca9ee880ed5e74b01df3
LIVE_BELIEF,EVENT_DRIVEN,Q09_HOSTILE,12,0.660247,0.600694,0.722222,54942c14daf726337e9138e1122780707697114e8363be7934eafc0c6142d6ab
LIVE_BELIEF,FAILURE_THRESHOLD,Q00_CLEAN,12,0.25,0.25,0.25,ccb199a3dc9e8f0e2469fcec2863920e405b993bd99e26403685cea083108a04
LIVE_BELIEF,FAILURE_THRESHOLD,Q01_RECALL75,12,0.25,0.25,0.25,2a490760919cd30971ba70c0ccddf68d0b7eb61d9fa49217027d4b2e643a938d
LIVE_BELIEF,FAILURE_THRESHOLD,Q02_RECALL50,12,0.25,0.25,0.25,9330b4b17893d089dda3a9e67260f6c5f6573da43816520e6096f6449f0e7682
LIVE_BELIEF,FAILURE_THRESHOLD,Q03_RECALL25,12,0.25,0.25,0.25,4d455e30d8e64dd7b2e57b7012aef3d841d28e2368ae5a1a85232f5794f80dc4
LIVE_BELIEF,FAILURE_THRESHOLD,Q04_DELAY1,12,0.25,0.25,0.25,399b6c025288fd9f3d29f1bbb1e9d07dc15fb934a9aecc9a9539a65e5be7d1f3
