trigger_policy,quality_id,disturbance_family,severity,horizon,n,completion,progress,retries,wakes,false_wakes,late_wakes,wasted_wakes,thrash,trigger_precision,trigger_recall,cost_proxy,storage_reads,storage_writes,storage_bytes,storage_age,escalation_event,escalation_failure
EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,4,48,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.5,1.0,1.0,167.5,6.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,8,48,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.5,1.0,1.0,167.5,8.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,12,48,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.5,1.0,1.0,167.5,10.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,4,48,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.5,1.0,1.0,167.5,6.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,8,48,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.5,1.0,1.0,167.5,8.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,12,48,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.5,1.0,1.0,167.5,10.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,HIGH,4,48,1.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,15.5,1.0,1.0,166.5,6.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,HIGH,8,48,1.0,9.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,15.5,1.0,1.0,166.5,8.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,HIGH,12,48,1.0,13.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,15.5,1.0,1.0,166.5,10.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,LOW,4,48,1.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,13.5,1.0,1.0,166.5,6.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,LOW,8,48,1.0,10.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,13.5,1.0,1.0,166.5,8.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,LOW,12,48,1.0,14.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,13.5,1.0,1.0,166.5,10.0,1.0,0.0
EVENT_DRIVEN,Q00_CLEAN,POSE_SHIFT,HIGH,4,48,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.5,1.0,1.0,161.5,6.0,1.0,0.0
