storage_variant,trigger_policy,quality_id,prompt_envelope,n,completion,progress,retries,wakes,false_wakes,late_wakes,wasted_wakes,thrash,trigger_precision,trigger_recall,cost_proxy,storage_reads,storage_writes,storage_bytes,storage_age,escalation_event,escalation_failure
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,COMPACT_TYPED,288,1.0,11.375,0.625,1.0,0.0,0.0,0.25,0.5,1.0,1.0,9.25,1.0,1.0,164.5,8.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,VERBOSE_TYPED,288,1.0,11.375,0.625,1.0,0.0,0.0,0.25,0.5,1.0,1.0,12.25,1.0,1.0,165.5,8.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q01_RECALL75,COMPACT_TYPED,288,0.78125,9.42708333,2.57291667,0.71875,0.0,0.28125,0.1875,0.37847222,0.71875,0.71875,10.89583333,0.71875,0.71875,118.34375,9.09722222,0.71875,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q01_RECALL75,VERBOSE_TYPED,288,0.78125,9.42708333,2.57291667,0.71875,0.0,0.28125,0.1875,0.37847222,0.71875,0.71875,13.05208333,0.71875,0.71875,119.0625,9.09722222,0.71875,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q02_RECALL50,COMPACT_TYPED,288,0.60763889,7.84375,4.15625,0.49305556,0.0,0.50694444,0.13541667,0.25347222,0.49305556,0.49305556,12.25694444,0.49305556,0.49305556,81.21527778,10.0625,0.49305556,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q02_RECALL50,VERBOSE_TYPED,288,0.60763889,7.84375,4.15625,0.49305556,0.0,0.50694444,0.13541667,0.25347222,0.49305556,0.49305556,13.73611111,0.49305556,0.49305556,81.70833333,10.0625,0.49305556,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q03_RECALL25,COMPACT_TYPED,288,0.42013889,6.14930556,5.85069444,0.23611111,0.0,0.76388889,0.06597222,0.12152778,0.23611111,0.23611111,13.59027778,0.23611111,0.23611111,38.89583333,11.11111111,0.23611111,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q03_RECALL25,VERBOSE_TYPED,288,0.42013889,6.14930556,5.85069444,0.23611111,0.0,0.76388889,0.06597222,0.12152778,0.23611111,0.23611111,14.29861111,0.23611111,0.23611111,39.13194444,11.11111111,0.23611111,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q04_DELAY1,COMPACT_TYPED,288,1.0,10.625,1.375,1.0,0.0,0.0,0.25,0.5,1.0,1.0,10.75,1.0,1.0,164.5,7.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q04_DELAY1,VERBOSE_TYPED,288,1.0,10.625,1.375,1.0,0.0,0.0,0.25,0.5,1.0,1.0,13.75,1.0,1.0,165.5,7.0,1.0,0.0
