storage_variant,trigger_policy,quality_id,n,completion,progress,retries,wakes,false_wakes,late_wakes,wasted_wakes,thrash,trigger_precision,trigger_recall,cost_proxy,storage_reads,storage_writes,storage_bytes,storage_age,escalation_event,escalation_failure
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,576,1.0,11.375,0.625,1.0,0.0,0.0,0.25,0.5,1.0,1.0,10.75,1.0,1.0,165.0,8.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q01_RECALL75,576,0.78125,9.42708333,2.57291667,0.71875,0.0,0.28125,0.1875,0.37847222,0.71875,0.71875,11.97395833,0.71875,0.71875,118.703125,9.09722222,0.71875,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q02_RECALL50,576,0.60763889,7.84375,4.15625,0.49305556,0.0,0.50694444,0.13541667,0.25347222,0.49305556,0.49305556,12.99652778,0.49305556,0.49305556,81.46180556,10.0625,0.49305556,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q03_RECALL25,576,0.42013889,6.14930556,5.85069444,0.23611111,0.0,0.76388889,0.06597222,0.12152778,0.23611111,0.23611111,13.94444444,0.23611111,0.23611111,39.01388889,11.11111111,0.23611111,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q04_DELAY1,576,1.0,10.625,1.375,1.0,0.0,0.0,0.25,0.5,1.0,1.0,12.25,1.0,1.0,165.0,7.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q05_DELAY3,576,1.0,9.125,2.875,1.0,0.0,1.0,0.25,0.5,1.0,1.0,15.25,1.0,1.0,165.0,5.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q06_FALSE3,576,1.0,11.375,0.625,2.0,1.0,0.0,1.25,0.5,0.5,1.0,27.25,2.0,4.0,664.5,7.0,2.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q07_DUP_OOO,576,1.0,10.625,1.375,2.0,0.0,0.0,1.25,0.5,1.0,1.0,25.25,2.0,3.0,495.0,6.0,2.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q08_GUARDED,576,0.78125,8.36458333,3.63541667,1.71875,1.0,0.0,1.1875,0.37847222,0.359375,0.71875,25.39583333,1.71875,1.71875,285.203125,6.5625,1.71875,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q09_HOSTILE,576,0.60763889,6.41319444,5.58680556,1.49305556,1.0,0.0,1.13541667,0.25347222,0.24652778,0.49305556,33.82291667,1.49305556,2.49305556,414.61805556,6.02777778,1.49305556,0.0
LIVE_BELIEF,FAILURE_THRESHOLD,Q00_CLEAN,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,51.0,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q01_RECALL75,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,50.296875,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q02_RECALL50,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,49.73263889,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q03_RECALL25,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,49.09027778,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q04_DELAY1,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,51.0,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q05_DELAY3,576,1.0,9.125,2.875,1.875,0.0,1.0,1.125,0.5,0.0,0.0,20.375,1.875,0.875,144.1875,5.875,0.0,1.875
LIVE_BELIEF,FAILURE_THRESHOLD,Q06_FALSE3,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,58.5,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q07_DUP_OOO,576,1.0,9.875,2.125,1.125,0.0,1.0,0.375,0.5,0.0,0.0,19.5,1.125,1.0,165.0,6.0,0.0,1.125
LIVE_BELIEF,FAILURE_THRESHOLD,Q08_GUARDED,576,0.78125,8.36458333,3.63541667,1.64583333,0.0,1.0,1.11458333,0.37847222,0.0,0.0,23.95833333,1.64583333,0.71875,118.703125,7.65972222,0.0,1.64583333
LIVE_BELIEF,FAILURE_THRESHOLD,Q09_HOSTILE,576,0.25,4.625,7.375,2.0,0.0,1.0,2.0,0.0,0.0,0.0,37.94791667,2.0,0.0,0.0,12.0,0.0,2.0
LIVE_BELIEF,HYBRID,Q00_CLEAN,576,1.0,11.375,0.625,4.58333333,0.0,0.0,3.83333333,0.5,1.0,1.0,32.25,4.58333333,1.0,165.0,8.0,1.0,0.375
LIVE_BELIEF,HYBRID,Q01_RECALL75,576,0.78125,9.42708333,2.57291667,5.38888889,0.0,0.28125,4.85763889,0.37847222,0.71875,0.71875,39.99479167,5.38888889,0.71875,118.703125,9.09722222,0.71875,1.88541667
LIVE_BELIEF,HYBRID,Q02_RECALL50,576,0.60763889,7.84375,4.15625,6.08680556,0.0,0.50694444,5.72916667,0.25347222,0.49305556,0.49305556,46.55902778,6.08680556,0.49305556,81.46180556,10.0625,0.49305556,3.12152778
LIVE_BELIEF,HYBRID,Q03_RECALL25,576,0.42013889,6.14930556,5.85069444,6.81597222,0.0,0.76388889,6.64583333,0.12152778,0.23611111,0.23611111,53.42361111,6.81597222,0.23611111,39.01388889,11.11111111,0.23611111,4.44097222
LIVE_BELIEF,HYBRID,Q04_DELAY1,576,1.0,10.625,1.375,4.58333333,0.0,0.0,3.83333333,0.5,1.0,1.0,33.75,4.58333333,1.0,165.0,7.0,1.0,0.375
LIVE_BELIEF,HYBRID,Q05_DELAY3,576,1.0,9.125,2.875,5.0,0.0,1.0,4.25,0.5,1.0,1.0,39.25,5.0,1.0,165.0,5.0,1.0,1.0
LIVE_BELIEF,HYBRID,Q06_FALSE3,576,1.0,11.375,0.625,5.25,1.0,0.0,4.5,0.5,0.5,1.0,46.75,5.25,4.0,664.5,7.0,2.0,0.375
LIVE_BELIEF,HYBRID,Q07_DUP_OOO,576,1.0,10.625,1.375,5.08333333,0.0,0.0,4.33333333,0.5,1.0,1.0,43.75,5.08333333,3.0,495.0,6.0,2.0,0.125
LIVE_BELIEF,HYBRID,Q08_GUARDED,576,0.78125,8.71180556,3.28819444,3.97569444,0.0,0.28125,3.44444444,0.37847222,0.71875,0.71875,37.57638889,3.97569444,1.05208333,174.203125,7.64583333,0.71875,0.89930556
LIVE_BELIEF,HYBRID,Q09_HOSTILE,576,0.37152778,5.35416667,6.64583333,2.79166667,0.0,1.0,2.67013889,0.09027778,0.0,0.0,41.85069444,2.79166667,0.61111111,101.38888889,10.02777778,0.0,1.50347222
LIVE_BELIEF,PERIODIC_ONLY,Q00_CLEAN,576,0.5,7.375,4.625,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,34.08333333,3.66666667,0.33333333,55.0,10.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q01_RECALL75,576,0.43402778,6.64930556,5.35069444,3.66666667,0.0,1.0,3.48263889,0.12847222,0.0,0.0,34.75173611,3.66666667,0.25347222,41.85590278,10.47916667,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q02_RECALL50,576,0.36805556,5.92361111,6.07638889,3.66666667,0.0,1.0,3.54861111,0.08333333,0.0,0.0,35.54166667,3.66666667,0.15625,25.81076389,11.0625,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q03_RECALL25,576,0.29861111,5.15972222,6.84027778,3.66666667,0.0,1.0,3.61805556,0.03472222,0.0,0.0,36.32986111,3.66666667,0.05902778,9.75173611,11.64583333,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q04_DELAY1,576,0.5,6.125,5.875,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,36.58333333,3.66666667,0.33333333,55.0,11.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q05_DELAY3,576,0.5,6.625,5.375,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,35.58333333,3.66666667,0.33333333,55.0,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q06_FALSE3,576,0.5,7.375,4.625,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,42.58333333,3.66666667,1.33333333,221.5,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q07_DUP_OOO,576,0.75,7.875,4.125,3.66666667,0.0,1.0,3.16666667,0.33333333,0.0,0.0,38.75,3.66666667,1.0,165.0,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q08_GUARDED,576,0.59722222,6.88194444,5.11805556,3.66666667,0.0,1.0,3.31944444,0.25,0.0,0.0,39.12847222,3.66666667,0.79861111,132.34722222,7.92708333,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q09_HOSTILE,576,0.36805556,5.56944444,6.43055556,2.0,0.0,1.0,1.88194444,0.08333333,0.0,0.0,36.70486111,2.0,0.64583333,107.12152778,9.59375,0.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q00_CLEAN,576,1.0,11.375,0.625,1.0,0.0,0.0,0.25,0.5,1.0,1.0,10.75,1.0,1.0,165.0,8.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q01_RECALL75,576,0.78125,9.42708333,2.57291667,0.71875,0.0,0.28125,0.1875,0.37847222,0.71875,0.71875,11.97395833,0.71875,0.71875,118.703125,9.09722222,0.71875,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q02_RECALL50,576,0.60763889,7.84375,4.15625,0.49305556,0.0,0.50694444,0.13541667,0.25347222,0.49305556,0.49305556,12.99652778,0.49305556,0.49305556,81.46180556,10.0625,0.49305556,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q03_RECALL25,576,0.42013889,6.14930556,5.85069444,0.23611111,0.0,0.76388889,0.06597222,0.12152778,0.23611111,0.23611111,13.94444444,0.23611111,0.23611111,39.01388889,11.11111111,0.23611111,0.0
