disturbance_family,effect_id,effective_seed_n,estimate,metric
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,0.63888889,completion
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,3.93888889,progress
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,-7.87777778,cost_proxy
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,0.61527778,completion
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,3.75416667,progress
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,-7.50833333,cost_proxy
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,0.61944444,completion
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,3.8125,progress
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,-7.625,cost_proxy
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,0.15,progress
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,-0.3,cost_proxy
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__VERBOSE_TYPED,12,0.63888889,completion
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__VERBOSE_TYPED,12,3.93888889,progress
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__VERBOSE_TYPED,12,-7.87777778,cost_proxy
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__VERBOSE_TYPED,12,0.61527778,completion
