axis,bootstrap_draws,candidate,ci_high,ci_low,comparator,draw_indices_sha256,effect_id,effective_seed_n,estimate,gate,metric,seed_cluster_sha256
storage,10000,LIVE_EPISODIC,0.47743056,0.45833333,LIVE_BELIEF,7066a5529701a499b85b8c8c40764f090082315eaa3a4899f7ab47f99994961a,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,0.46840278,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,2.98229167,2.83263889,LIVE_BELIEF,0d4f9e275e03e4d36885e129a9e3c487d8a23e49b72e4522c733349eba634ed1,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,2.91388889,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,-5.66666667,-5.96458333,LIVE_BELIEF,ed1fedaade423a5534e1dcd25639be598a28423009a714bbdc00ab2e7c45f64c,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__COMPACT_TYPED,12,-5.82777778,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.47708333,0.45833333,LIVE_BELIEF,838a1167f87e6952e8cce9457ddcd0b043162ab411fbc745b72ed1188551ce9a,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__VERBOSE_TYPED,12,0.46840278,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,2.98194444,2.83194444,LIVE_BELIEF,57833fe379669eb1c2d2e3b66dc97229bfe7d6c049ddc9555e1c5cbbc083a0d5,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__VERBOSE_TYPED,12,2.91388889,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,-5.66875,-5.96388889,LIVE_BELIEF,5e1dd95d18080f11e133662ba07fa7903a11922c649486a064aad0aa5c2e931a,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__PERIODIC_ONLY__VERBOSE_TYPED,12,-5.82777778,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.55069444,0.54305556,LIVE_BELIEF,b51879e8ca98fc946e3fb9ee8800bea2f0ccc0254ad4acf13b18d9062492d2b8,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__FAILURE_THRESHOLD__COMPACT_TYPED,12,0.546875,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,4.05520833,3.99548611,LIVE_BELIEF,761cfc3331c780a1fee57b60f8d92853affdb9d01e9a8a2a6c59c28604688365,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__FAILURE_THRESHOLD__COMPACT_TYPED,12,4.02604167,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,-26.24166667,-26.50972222,LIVE_BELIEF,0cb6cefcdf48f426764228044e146a36f4c66d59017c228c037a57557d3f4bc9,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__FAILURE_THRESHOLD__COMPACT_TYPED,12,-26.37708333,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.55069444,0.54305556,LIVE_BELIEF,bc02fdee6465ea644eba6c33d65efeee555f6f85f6272ca02cc08da32f74e617,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__FAILURE_THRESHOLD__VERBOSE_TYPED,12,0.546875,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,4.05486111,3.99548611,LIVE_BELIEF,ca812fae10b967145c8f786210c87b66b8860014fbfc108cecaa13a49f98af26,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__FAILURE_THRESHOLD__VERBOSE_TYPED,12,4.02604167,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,-26.23888889,-26.50763889,LIVE_BELIEF,e80147e37a5eed881ac2ff0bd323c248703e00ab4a1506c75cc67f65a4ba8a12,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__FAILURE_THRESHOLD__VERBOSE_TYPED,12,-26.37708333,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.0,0.0,LIVE_BELIEF,d57b6a9e671818ae85438cf4614ee110e672af8367f46408566e1b4fe7228ede,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.02326389,0.01909722,LIVE_BELIEF,5c4dd51525bddbdb1e14e5b6cf05a77caea5bc3a7258277c24873ed8212a0340,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.02118056,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,-0.03819444,-0.04652778,LIVE_BELIEF,d8c5d78646b5e53921ff2f7830be613be4fee1063a6f475d4d6c6911931c9c3f,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,-0.04236111,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.0,0.0,LIVE_BELIEF,91c6634da08222ae6f0cc0e7b9e513ded23c1fc3b7a4a9bb2c91a99747532d0c,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.02326389,0.01909722,LIVE_BELIEF,5a78f7e3f195ba139501e905f4293a8638f7dedd5d3f6aed834fc6353b460625,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.02118056,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,-0.03819444,-0.04652778,LIVE_BELIEF,776a9adfbaf178b706f939234161c6962c9ac8e9c0247e371816cc16aa790ffc,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,-0.04236111,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.19444444,0.16388889,LIVE_BELIEF,ff92e213bff1c9226671422cdc52dc473acdc8012688b94f87f81d8dc5489796,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,0.17881944,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,1.61875,1.40416667,LIVE_BELIEF,d234af3ab8cb0177d939a89fc6d9a1758837c084082bf66c8fc2daf574b9cdd7,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,1.51284722,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,-6.05902778,-7.05208333,LIVE_BELIEF,134bc3b255fb806052012e556d4cac367c9c93fd36e833ed35e54b6faddff083,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,-6.55069444,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,0.19444444,0.16388889,LIVE_BELIEF,445eb23af05795f8546898ff4e04e760a68afbaec02bd6c209febab53acd0629,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,0.17881944,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,1.62083333,1.40277778,LIVE_BELIEF,4e5dc9106924763f732dbd761f1a510ba10fbe9a9079a51c38880c45cee53e36,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,1.51284722,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
storage,10000,LIVE_EPISODIC,-6.04375,-7.04236111,LIVE_BELIEF,a3d8933ef14db8d1eee7427835357ba11b8cd9550f90209b9476ebe9e059a22d,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,-6.55069444,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,-0.02256944,-0.03576389,PERIODIC_ONLY,9a20617de8fd8dcb2aa796a0d6e4cb03eed3bd1c0f4365078742c4e53dd46e5c,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-0.02847222,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,-0.52118056,-0.65590278,PERIODIC_ONLY,3547788e01cd9661881ecd03c37c27211f78f17c8157539126cb682f5525c099,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-0.58194444,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,4.22361111,4.05277778,PERIODIC_ONLY,c38284ed7cb115149a92f4c652a6bdfd922de1dd8a139e890d2f0ea16caf2595,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,4.13611111,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,-0.02256944,-0.03576389,PERIODIC_ONLY,0d6ec2a23b24b802cd635801ba36e2f8c3819f7ebe046f6316554a12cae610f4,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-0.02847222,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,-0.52083333,-0.65625,PERIODIC_ONLY,3dad77b83fc302a33616fd8a2c4d7dd7233edaf4b4e5fbd588deb47d7cb21957,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-0.58194444,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
