clean_to_hostile_slope,cliff_after_quality,largest_adjacent_drop,prompt_envelope,storage_variant,trigger_policy
-0.01466049,Q08_GUARDED,-0.22916666,COMPACT_TYPED,LIVE_BELIEF,PERIODIC_ONLY
-0.01466049,Q08_GUARDED,-0.22916666,VERBOSE_TYPED,LIVE_BELIEF,PERIODIC_ONLY
0.0,Q05_DELAY3,-0.75,COMPACT_TYPED,LIVE_BELIEF,FAILURE_THRESHOLD
0.0,Q05_DELAY3,-0.75,VERBOSE_TYPED,LIVE_BELIEF,FAILURE_THRESHOLD
-0.04359568,Q00_CLEAN,-0.21875,COMPACT_TYPED,LIVE_BELIEF,EVENT_DRIVEN
-0.04359568,Q00_CLEAN,-0.21875,VERBOSE_TYPED,LIVE_BELIEF,EVENT_DRIVEN
-0.06983025,Q08_GUARDED,-0.40972222,COMPACT_TYPED,LIVE_BELIEF,HYBRID
-0.06983025,Q08_GUARDED,-0.40972222,VERBOSE_TYPED,LIVE_BELIEF,HYBRID
-0.05555556,Q08_GUARDED,-0.5,COMPACT_TYPED,LIVE_EPISODIC,PERIODIC_ONLY
-0.05555556,Q08_GUARDED,-0.5,VERBOSE_TYPED,LIVE_EPISODIC,PERIODIC_ONLY
0.0,Q00_CLEAN,0.0,COMPACT_TYPED,LIVE_EPISODIC,FAILURE_THRESHOLD
0.0,Q00_CLEAN,0.0,VERBOSE_TYPED,LIVE_EPISODIC,FAILURE_THRESHOLD
-0.04359568,Q00_CLEAN,-0.21875,COMPACT_TYPED,LIVE_EPISODIC,EVENT_DRIVEN
-0.04359568,Q00_CLEAN,-0.21875,VERBOSE_TYPED,LIVE_EPISODIC,EVENT_DRIVEN
-0.02777778,Q08_GUARDED,-0.25,COMPACT_TYPED,LIVE_EPISODIC,HYBRID
-0.02777778,Q08_GUARDED,-0.25,VERBOSE_TYPED,LIVE_EPISODIC,HYBRID
