episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contact_ticks,path_length_m,ticks,replans,semantic_wakes,detector_latency_ms
seed-7201-eval_x3-hierarchical,7201,EVAL_X3,HIERARCHICAL,True,True,0.011345496722725638,True,True,True,0.09965150215667057,0,2.5567375155915615,273,0,0,0.72
seed-7201-eval_x3-rgb_only,7201,EVAL_X3,RGB_ONLY,False,False,,False,False,False,1.4206791192146035,268,1.0170155176401283,300,0,0,0.35
seed-7201-eval_x3-rgbd_motion,7201,EVAL_X3,RGBD_MOTION,True,True,0.011345496722725638,True,True,True,0.09965150215667057,0,2.5567375155915615,273,0,0,0.72
seed-7201-no_obstacle-hierarchical,7201,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786455829280619,0,2.2980827094602834,134,0,0,0.72
seed-7201-no_obstacle-rgb_only,7201,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786455829280619,0,2.2980827094602834,134,0,0,0.35
seed-7201-no_obstacle-rgbd_motion,7201,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786455829280619,0,2.2980827094602834,134,0,0,0.72
seed-7201-opaque-hierarchical,7201,OPAQUE,HIERARCHICAL,True,True,0.011345496722725638,True,True,True,0.09965150215667057,0,2.5567375155915615,273,0,0,0.72
seed-7201-opaque-rgb_only,7201,OPAQUE,RGB_ONLY,True,True,0.011345496722725638,True,True,True,0.09965150215667057,0,2.5567375155915615,273,0,0,0.35
seed-7201-opaque-rgbd_motion,7201,OPAQUE,RGBD_MOTION,True,True,0.011345496722725638,True,True,True,0.09965150215667057,0,2.5567375155915615,273,0,0,0.72
seed-7202-eval_x3-hierarchical,7202,EVAL_X3,HIERARCHICAL,True,True,0.010612233854699015,True,True,True,0.09773396504190064,0,2.5589212278441353,274,0,0,0.72
seed-7202-eval_x3-rgb_only,7202,EVAL_X3,RGB_ONLY,False,False,,False,False,False,1.395550528535076,267,1.0613507721572506,300,0,0,0.35
seed-7202-eval_x3-rgbd_motion,7202,EVAL_X3,RGBD_MOTION,True,True,0.010612233854699015,True,True,True,0.09773396504190064,0,2.5589212278441353,274,0,0,0.72
seed-7202-no_obstacle-hierarchical,7202,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786449858644683,0,2.2980808485259563,134,0,0,0.72
seed-7202-no_obstacle-rgb_only,7202,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786449858644683,0,2.2980808485259563,134,0,0,0.35
seed-7202-no_obstacle-rgbd_motion,7202,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786449858644683,0,2.2980808485259563,134,0,0,0.72
seed-7202-opaque-hierarchical,7202,OPAQUE,HIERARCHICAL,True,True,0.010612233854699015,True,True,True,0.09773396504190064,0,2.5589212278441353,274,0,0,0.72
seed-7202-opaque-rgb_only,7202,OPAQUE,RGB_ONLY,True,True,0.010612233854699015,True,True,True,0.09773396504190064,0,2.5589212278441353,274,0,0,0.35
seed-7202-opaque-rgbd_motion,7202,OPAQUE,RGBD_MOTION,True,True,0.010612233854699015,True,True,True,0.09773396504190064,0,2.5589212278441353,274,0,0,0.72
seed-7203-eval_x3-hierarchical,7203,EVAL_X3,HIERARCHICAL,True,True,0.009328920325615338,True,True,True,0.09823794803920258,0,2.5537838819155203,273,0,0,0.72
seed-7203-eval_x3-rgb_only,7203,EVAL_X3,RGB_ONLY,False,False,,False,False,False,1.4717075785604083,270,0.9304200478059497,300,0,0,0.35
seed-7203-eval_x3-rgbd_motion,7203,EVAL_X3,RGBD_MOTION,True,True,0.009328920325615338,True,True,True,0.09823794803920258,0,2.5537838819155203,273,0,0,0.72
seed-7203-no_obstacle-hierarchical,7203,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786695012979438,0,2.29815725788953,134,0,0,0.72
seed-7203-no_obstacle-rgb_only,7203,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786695012979438,0,2.29815725788953,134,0,0,0.35
seed-7203-no_obstacle-rgbd_motion,7203,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786695012979438,0,2.29815725788953,134,0,0,0.72
seed-7203-opaque-hierarchical,7203,OPAQUE,HIERARCHICAL,True,True,0.009328920325615338,True,True,True,0.09823794803920258,0,2.5537838819155203,273,0,0,0.72
seed-7203-opaque-rgb_only,7203,OPAQUE,RGB_ONLY,True,True,0.009328920325615338,True,True,True,0.09823794803920258,0,2.5537838819155203,273,0,0,0.35
seed-7203-opaque-rgbd_motion,7203,OPAQUE,RGBD_MOTION,True,True,0.009328920325615338,True,True,True,0.09823794803920258,0,2.5537838819155203,273,0,0,0.72
seed-7204-eval_x3-hierarchical,7204,EVAL_X3,HIERARCHICAL,True,True,0.016449560234325058,True,True,True,0.09855360751773905,0,2.563830222017108,274,0,0,0.72
seed-7204-eval_x3-rgb_only,7204,EVAL_X3,RGB_ONLY,False,False,,False,False,False,1.322391198191949,265,1.1225151528737776,300,0,0,0.35
seed-7204-eval_x3-rgbd_motion,7204,EVAL_X3,RGBD_MOTION,True,True,0.016449560234325058,True,True,True,0.09855360751773905,0,2.563830222017108,274,0,0,0.72
seed-7204-no_obstacle-hierarchical,7204,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.097863691658131,0,2.2980556980237115,134,0,0,0.72
seed-7204-no_obstacle-rgb_only,7204,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.097863691658131,0,2.2980556980237115,134,0,0,0.35
