episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contacts,replans,retries,semantic_wakes,path_length_m,ticks
seed-5101-no_obstacle-rgb_only,5101,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.0978643111029221,0,0,0,0,2.302156777392374,134
seed-5101-no_obstacle-rgbd_motion,5101,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.0978643111029221,0,0,0,0,2.302156777392374,134
seed-5101-no_obstacle-hierarchical,5101,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.0978643111029221,0,0,0,0,2.302156777392374,134
seed-5101-opaque-rgb_only,5101,OPAQUE,RGB_ONLY,True,True,0.00815350406307215,True,True,True,0.09792591273284337,0,0,0,0,2.5704638680826517,274
seed-5101-opaque-rgbd_motion,5101,OPAQUE,RGBD_MOTION,True,True,0.00815350406307215,True,True,True,0.09792591273284337,0,0,0,0,2.5704638680826517,274
seed-5101-opaque-hierarchical,5101,OPAQUE,HIERARCHICAL,True,True,0.00815350406307215,True,True,True,0.09792591273284337,0,0,0,0,2.5704638680826517,274
seed-5101-transparent-rgb_only,5101,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.436763055136275,268,0,0,0,0.9702512963323151,300
seed-5101-transparent-rgbd_motion,5101,TRANSPARENT,RGBD_MOTION,True,True,0.00815350406307215,True,True,True,0.09792591273284337,0,0,0,0,2.5704638680826517,274
seed-5101-transparent-hierarchical,5101,TRANSPARENT,HIERARCHICAL,True,True,0.00815350406307215,True,True,True,0.09792591273284337,0,0,0,0,2.5704638680826517,274
seed-5102-no_obstacle-rgb_only,5102,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09791736505329098,0,0,0,0,2.303821450323373,134
seed-5102-no_obstacle-rgbd_motion,5102,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09791736505329098,0,0,0,0,2.303821450323373,134
seed-5102-no_obstacle-hierarchical,5102,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09791736505329098,0,0,0,0,2.303821450323373,134
seed-5102-opaque-rgb_only,5102,OPAQUE,RGB_ONLY,True,True,0.015147338332433783,True,True,True,0.09930091309302598,0,0,0,0,2.5487313037438724,274
seed-5102-opaque-rgbd_motion,5102,OPAQUE,RGBD_MOTION,True,True,0.01475077335044938,True,True,True,0.09926455876978113,0,0,0,0,2.548794391625688,274
seed-5102-opaque-hierarchical,5102,OPAQUE,HIERARCHICAL,True,True,0.01475077335044938,True,True,True,0.09926455876978113,0,0,0,0,2.548794391625688,274
seed-5102-transparent-rgb_only,5102,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.3206275064901076,264,0,0,0,1.1289786201968477,300
seed-5102-transparent-rgbd_motion,5102,TRANSPARENT,RGBD_MOTION,True,True,0.01475077335044938,True,True,True,0.09926455876978113,0,0,0,0,2.548794391625688,274
seed-5102-transparent-hierarchical,5102,TRANSPARENT,HIERARCHICAL,True,True,0.01475077335044938,True,True,True,0.09926455876978113,0,0,0,0,2.548794391625688,274
seed-5103-no_obstacle-rgb_only,5103,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09787207017632123,0,0,0,0,2.302400271624499,134
seed-5103-no_obstacle-rgbd_motion,5103,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09787207017632123,0,0,0,0,2.302400271624499,134
seed-5103-no_obstacle-hierarchical,5103,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09787207017632123,0,0,0,0,2.302400271624499,134
