episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contact_ticks,path_length_m,ticks,replans,semantic_wakes,detector_latency_ms
seed-6201-eval_x2-hierarchical,6201,EVAL_X2,HIERARCHICAL,True,True,0.011955479297268819,True,True,True,0.09854237237241238,0,2.574115798224229,274,0,0,0.72
seed-6201-eval_x2-rgb_only,6201,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.3199304834350971,265,1.120913387326193,300,0,0,0.35
seed-6201-eval_x2-rgbd_motion,6201,EVAL_X2,RGBD_MOTION,True,True,0.011955479297268819,True,True,True,0.09854237237241238,0,2.574115798224229,274,0,0,0.72
seed-6201-no_obstacle-hierarchical,6201,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786691337058936,0,2.2981561121929066,134,0,0,0.72
seed-6201-no_obstacle-rgb_only,6201,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786691337058936,0,2.2981561121929066,134,0,0,0.35
seed-6201-no_obstacle-rgbd_motion,6201,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786691337058936,0,2.2981561121929066,134,0,0,0.72
seed-6201-opaque-hierarchical,6201,OPAQUE,HIERARCHICAL,True,True,0.011955479297268819,True,True,True,0.09854237237241238,0,2.574115798224229,274,0,0,0.72
seed-6201-opaque-rgb_only,6201,OPAQUE,RGB_ONLY,True,True,0.019683228011134618,True,True,True,0.09850568445572347,0,2.5741605811714243,274,0,0,0.35
seed-6201-opaque-rgbd_motion,6201,OPAQUE,RGBD_MOTION,True,True,0.011955479297268819,True,True,True,0.09854237237241238,0,2.574115798224229,274,0,0,0.72
seed-6202-eval_x2-hierarchical,6202,EVAL_X2,HIERARCHICAL,True,True,0.01441142842373904,True,True,True,0.09951219325376488,0,2.5954316426443165,275,0,0,0.72
seed-6202-eval_x2-rgb_only,6202,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.3358360695101597,266,1.0749785520917905,300,0,0,0.35
seed-6202-eval_x2-rgbd_motion,6202,EVAL_X2,RGBD_MOTION,True,True,0.01441142842373904,True,True,True,0.09951219325376488,0,2.5954316426443165,275,0,0,0.72
seed-6202-no_obstacle-hierarchical,6202,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09789751822507439,0,2.2991098956542952,134,0,0,0.72
seed-6202-no_obstacle-rgb_only,6202,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09789751822507439,0,2.2991098956542952,134,0,0,0.35
seed-6202-no_obstacle-rgbd_motion,6202,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09789751822507439,0,2.2991098956542952,134,0,0,0.72
seed-6202-opaque-hierarchical,6202,OPAQUE,HIERARCHICAL,True,True,0.01441142842373904,True,True,True,0.09951219325376488,0,2.5954316426443165,275,0,0,0.72
seed-6202-opaque-rgb_only,6202,OPAQUE,RGB_ONLY,True,True,0.008093457214845994,True,True,True,0.09790370433557696,0,2.5967327360398085,275,0,0,0.35
seed-6202-opaque-rgbd_motion,6202,OPAQUE,RGBD_MOTION,True,True,0.01441142842373904,True,True,True,0.09951219325376488,0,2.5954316426443165,275,0,0,0.72
seed-6203-eval_x2-hierarchical,6203,EVAL_X2,HIERARCHICAL,True,True,0.0040399370244335224,True,True,True,0.09942730008597848,0,2.5520753431244865,274,0,0,0.72
seed-6203-eval_x2-rgb_only,6203,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.3249008850985486,265,1.126151253852057,300,0,0,0.35
seed-6203-eval_x2-rgbd_motion,6203,EVAL_X2,RGBD_MOTION,True,True,0.0040399370244335224,True,True,True,0.09942730008597848,0,2.5520753431244865,274,0,0,0.72
seed-6203-no_obstacle-hierarchical,6203,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.0978689331139253,0,2.2982190623539993,134,0,0,0.72
seed-6203-no_obstacle-rgb_only,6203,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.0978689331139253,0,2.2982190623539993,134,0,0,0.35
seed-6203-no_obstacle-rgbd_motion,6203,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.0978689331139253,0,2.2982190623539993,134,0,0,0.72
seed-6203-opaque-hierarchical,6203,OPAQUE,HIERARCHICAL,True,True,0.0040399370244335224,True,True,True,0.09942730008597848,0,2.5520753431244865,274,0,0,0.72
