comparison_metric,seed,member_count,cluster_mean,members_json
R3-R0:mission_success,20262101,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262102,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262103,10,0.6,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262104,11,0.6363636363636364,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262105,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262106,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262107,9,0.5555555555555556,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262108,11,0.6363636363636364,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262109,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262110,10,0.5,"[0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:safety_composite,20262101,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262102,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262103,10,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262104,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262105,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262106,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262107,9,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262108,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262109,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262110,10,0.1,"[0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:progress,20262101,12,0.6089613964121067,"[0.0,0.0,0.0,0.0,0.7143390255547855,0.6925365813538112,0.9999977599405687,0.9999981808334485,0.9978486101363389,0.9529673510831684,0.9975310260728344,0.9523182219703248]"
R3-R0:progress,20262102,12,0.6167651061066275,"[0.0,0.0,0.0,0.0,0.7596282257263912,0.7454779426012297,0.9999976894731808,0.9999956847416535,0.9976208603373458,0.9507031043751956,0.9979320838683732,0.9498256821561601]"
R3-R0:progress,20262103,10,0.5621143096540708,"[0.0,0.0,0.0,0.0,0.7152671241511044,0.9999978010603976,0.9999971741050202,0.9982731295068129,0.9561163025072401,0.9514915652101326]"
R3-R0:progress,20262104,11,0.5776194591490732,"[0.0,0.0,0.0,0.0,0.7118031938749854,0.7362904454754524,0.9999983265930639,0.999997594694863,0.9977250887060767,0.9560045185059466,0.951994882789417]"
R3-R0:progress,20262105,12,0.6143260218247715,"[0.0,0.0,0.0,0.0,0.7500366014074368,0.7244272508574587,0.9999973034152464,0.9999973180433156,0.9980928845923279,0.9522081830513328,0.9978891204286001,0.9492636001015392]"
R3-R0:progress,20262106,12,0.612424094605074,"[0.0,0.0,0.0,0.0,0.7393804995888886,0.7112181999135232,0.9999966477730555,0.9999971670367023,0.9977065274533665,0.9513541781727063,0.9977428322134028,0.951693083109243]"
R3-R0:progress,20262107,9,0.4902162352376822,"[0.0,0.0,0.0,0.0,0.7296261475202037,0.7797188646172549,0.9514068380192853,0.9978543537803738,0.9533399132020217]"
R3-R0:progress,20262108,11,0.5996536250785032,"[0.0,0.0,0.0,0.0,0.6944730595484232,0.9999980451643116,0.9999967166784978,0.9976229531610551,0.9524099120069479,0.9979796026312243,0.953709586673076]"
R3-R0:progress,20262109,12,0.614889759123842,"[0.0,0.0,0.0,0.0,0.7254876097721765,0.7465658316629533,0.9999976460894751,0.9999973554588066,0.9980883758029792,0.9550472682699951,0.9980283756128476,0.9554646468168707]"
