graph,category,series,value
success-progress,R0,success,0.36036036036036034
success-progress,R1,success,0.7567567567567568
success-progress,R2,success,1.0
success-progress,R3,success,0.990990990990991
success-progress,R0,progress,0.4107046094230208
success-progress,R1,progress,0.7663955417888411
success-progress,R2,progress,0.9999978826070881
success-progress,R3,progress,0.9920464042188595
wake-profiles,R0,mean_wakes,1.6396396396396395
wake-profiles,R1,mean_wakes,0.9099099099099099
wake-profiles,R2,mean_wakes,1.7477477477477477
wake-profiles,R3,mean_wakes,1.1081081081081081
family-heterogeneity,control-dr,LOW,1.0
family-heterogeneity,control-im,LOW,1.0
family-heterogeneity,motion-pat,LOW,1.0
family-heterogeneity,motion-tar,LOW,1.0
family-heterogeneity,semantic-o,LOW,1.0
family-heterogeneity,semantic-r,LOW,1.0
family-heterogeneity,control-dr,HIGH,1.0
family-heterogeneity,control-im,HIGH,1.0
family-heterogeneity,motion-pat,HIGH,0.8888888888888888
family-heterogeneity,motion-tar,HIGH,1.0
family-heterogeneity,semantic-o,HIGH,1.0
family-heterogeneity,semantic-r,HIGH,1.0
controller-sensitivity,success,P4-P6,-0.35757575757575755
controller-sensitivity,progress,P4-P6,-0.31522908929302307
