family,severity,architecture,n,success_rate,mean_progress
control-dropout,LOW,R0,10,1.0,0.9999976189294942
control-dropout,LOW,R1,10,1.0,0.9999974303062753
control-dropout,LOW,R2,10,1.0,0.9999974002531271
control-dropout,LOW,R3,10,1.0,0.9999976189294942
control-dropout,HIGH,R0,10,1.0,0.9999975357312374
control-dropout,HIGH,R1,10,0.0,0.0
control-dropout,HIGH,R2,10,1.0,0.9999976020428996
control-dropout,HIGH,R3,10,1.0,0.9999975357312374
control-impulse,LOW,R0,10,1.0,0.9999976176139663
control-impulse,LOW,R1,10,1.0,0.9999976176139663
control-impulse,LOW,R2,10,1.0,0.9999976176139663
control-impulse,LOW,R3,10,1.0,0.9999976176139663
control-impulse,HIGH,R0,10,1.0,0.9999978750482519
control-impulse,HIGH,R1,10,1.0,0.9999977569529154
control-impulse,HIGH,R2,10,1.0,0.9999977984374485
control-impulse,HIGH,R3,10,1.0,0.9999978750482519
motion-path-infeasible,LOW,R0,8,0.0,0.2719009017417651
motion-path-infeasible,LOW,R1,8,0.0,0.06305141498783733
motion-path-infeasible,LOW,R2,8,1.0,0.9999976971159266
motion-path-infeasible,LOW,R3,8,1.0,0.9999976971159266
motion-path-infeasible,HIGH,R0,9,0.0,0.27026558483279683
motion-path-infeasible,HIGH,R1,9,0.0,0.06285170117409136
motion-path-infeasible,HIGH,R2,9,1.0,0.9999978619287057
motion-path-infeasible,HIGH,R3,9,0.8888888888888888,0.9019292220039438
motion-target-shift,LOW,R0,9,0.0,0.0
motion-target-shift,LOW,R1,9,1.0,0.9999976981151507
motion-target-shift,LOW,R2,9,1.0,0.9999976836027975
motion-target-shift,LOW,R3,9,1.0,0.9999976836027975
motion-target-shift,HIGH,R0,9,0.0,0.0
motion-target-shift,HIGH,R1,9,1.0,0.9999972945618434
motion-target-shift,HIGH,R2,9,1.0,0.9999972380453905
motion-target-shift,HIGH,R3,9,1.0,0.9999972380453905
semantic-object-unavailable,LOW,R0,8,0.0,0.0021261976274158257
semantic-object-unavailable,LOW,R1,8,1.0,0.9999985013394537
semantic-object-unavailable,LOW,R2,8,1.0,0.9999984501383699
semantic-object-unavailable,LOW,R3,8,1.0,0.9999985013394537
semantic-object-unavailable,HIGH,R0,10,0.0,0.04666491617353284
semantic-object-unavailable,HIGH,R1,10,1.0,0.9999984515033583
semantic-object-unavailable,HIGH,R2,10,1.0,0.9999984103341187
semantic-object-unavailable,HIGH,R3,10,1.0,0.9999984515033583
semantic-restriction-change,LOW,R0,8,0.0,0.00213228880884236
semantic-restriction-change,LOW,R1,8,1.0,0.9999984879876751
semantic-restriction-change,LOW,R2,8,1.0,0.9999984494908716
semantic-restriction-change,LOW,R3,8,1.0,0.9999984879876751
semantic-restriction-change,HIGH,R0,10,0.0,0.04799906420711162
semantic-restriction-change,HIGH,R1,10,1.0,0.9999985095616681
semantic-restriction-change,HIGH,R2,10,1.0,0.9999984856417792
semantic-restriction-change,HIGH,R3,10,1.0,0.9999985095616681
