comparison_metric,seed,member_count,cluster_mean,members_json
R3-R0:mission_success,20262301,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262302,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262303,11,0.6363636363636364,"[0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262304,11,0.7272727272727273,"[0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262305,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262306,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262307,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262308,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262309,11,0.7272727272727273,"[0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262310,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:safety_composite,20262301,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262302,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262303,11,0.09090909090909091,"[0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262304,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262305,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262306,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262307,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262308,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262309,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262310,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
