draw_id,R3-R0:mission_success:sampled_seeds,R3-R0:safety_composite:sampled_seeds,R3-R0:progress:sampled_seeds,R3-R0:total_wakes:sampled_seeds,R3-R1:mission_success:sampled_seeds,R3-R1:safety_composite:sampled_seeds,R3-R1:progress:sampled_seeds,R3-R1:total_wakes:sampled_seeds,R3-R2:mission_success:sampled_seeds,R3-R2:safety_composite:sampled_seeds,R3-R2:progress:sampled_seeds,R3-R2:total_wakes:sampled_seeds,P4-P6:mission_success:sampled_seeds,P4-P6:progress:sampled_seeds,R3-R0:mission_success,R3-R0:safety_composite,R3-R0:progress,R3-R0:total_wakes,R3-R1:mission_success,R3-R1:safety_composite,R3-R1:progress,R3-R1:total_wakes,R3-R2:mission_success,R3-R2:safety_composite,R3-R2:progress,R3-R2:total_wakes,P4-P6:mission_success,P4-P6:progress
0,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262307|20262304|20262303|20262301|20262310|20262306|20262302|20262308|20262307|20262307,20262301|20262301|20262301|20262301|20262301,20262301|20262301|20262301|20262301|20262301,0.6696969696969697,0.00909090909090909,0.6171364970630844,-0.5431818181818182,0.24545454545454545,0.00909090909090909,0.23616863218029502,0.2204545454545454,-0.00909090909090909,0.00909090909090909,-0.007894798816155069,-0.6696969696969697,-0.2727272727272727,-0.2639794245652125
1,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262307|20262301|20262304|20262309|20262304|20262301|20262302|20262307|20262307,20262301|20262301|20262301|20262301|20262302,20262301|20262301|20262301|20262301|20262302,0.6848484848484849,0.0,0.6305669427763212,-0.565909090909091,0.25681818181818183,0.0,0.24622306732399846,0.20454545454545453,0.0,0.0,4.381346070249328e-08,-0.6848484848484849,-0.2727272727272727,-0.2604084205019874
2,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262303|20262301|20262307|20262301|20262302|20262307|20262306|20262308|20262304|20262301,20262301|20262301|20262301|20262301|20262303,20262301|20262301|20262301|20262301|20262303,0.6696969696969697,0.00909090909090909,0.6172251634804697,-0.5598484848484848,0.24545454545454545,0.00909090909090909,0.23619374788505784,0.20378787878787877,-0.00909090909090909,0.00909090909090909,-0.007894807173679751,-0.6696969696969697,-0.2581818181818182,-0.2500831094512909
3,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262304|20262308|20262306|20262303|20262310|20262308|20262305|20262305|20262308|20262309,20262301|20262301|20262301|20262301|20262304,20262301|20262301|20262301|20262301|20262304,0.6757575757575758,0.00909090909090909,0.6251781516735061,-0.5818181818181818,0.24772727272727274,0.00909090909090909,0.2392929460770762,0.18863636363636366,-0.00909090909090909,0.00909090909090909,-0.007894809391975427,-0.6757575757575758,-0.2909090909090909,-0.2718870992375411
4,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262309|20262309|20262305|20262305|20262303|20262309|20262304|20262308|20262306|20262302,20262301|20262301|20262301|20262301|20262305,20262301|20262301|20262301|20262301|20262305,0.687878787878788,0.00909090909090909,0.6352175221103085,-0.5924242424242424,0.25227272727272726,0.00909090909090909,0.2432973578408495,0.19166666666666668,-0.00909090909090909,0.00909090909090909,-0.007894804040109702,-0.687878787878788,-0.2848484848484848,-0.2717278468790683
5,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262307|20262305|20262308|20262301|20262306|20262305|20262302|20262302|20262307,20262301|20262301|20262301|20262302|20262301,20262301|20262301|20262301|20262302|20262301,0.6666666666666667,0.0,0.6148556974031842,-0.55,0.25,0.0,0.2400884675958653,0.2,0.0,0.0,5.544760924014458e-08,-0.6666666666666667,-0.2727272727272727,-0.2604084205019875
6,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262304|20262309|20262304|20262305|20262304|20262304|20262309|20262302|20262301|20262309,20262301|20262301|20262301|20262302|20262302,20262301|20262301|20262301|20262302|20262302,0.7090909090909092,0.0,0.6547460474834814,-0.6121212121212121,0.26590909090909093,0.0,0.2556853656209337,0.1856060606060606,0.0,0.0,4.1636978079324375e-08,-0.7090909090909092,-0.2727272727272727,-0.2568374164387624
7,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262305|20262303|20262301|20262305|20262301|20262309|20262309|20262304|20262303|20262305,20262301|20262301|20262301|20262302|20262303,20262301|20262301|20262301|20262302|20262303,0.6787878787878788,0.01818181818181818,0.6271217130108698,-0.5916666666666667,0.24318181818181817,0.01818181818181818,0.23527068611726576,0.19242424242424244,-0.01818181818181818,0.01818181818181818,-0.01578969858775335,-0.6787878787878788,-0.2581818181818182,-0.2465121053880659
8,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262302|20262305|20262310|20262304|20262307|20262301|20262301|20262304|20262302|20262310,20262301|20262301|20262301|20262302|20262304,20262301|20262301|20262301|20262302|20262304,0.6787878787878789,0.0,0.6263234670829613,-0.5522727272727274,0.2545454545454545,0.0,0.24456064867195054,0.21136363636363634,0.0,0.0,3.926946119972827e-08,-0.6787878787878789,-0.2909090909090909,-0.2683160951743161
9,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262303|20262305|20262303|20262304|20262304|20262310|20262310|20262308|20262307|20262308,20262301|20262301|20262301|20262302|20262305,20262301|20262301|20262301|20262302|20262305,0.6727272727272728,0.01818181818181818,0.6218227346808013,-0.5613636363636363,0.2409090909090909,0.01818181818181818,0.2331422609769928,0.21590909090909088,-0.01818181818181818,0.01818181818181818,-0.015789673766327943,-0.6727272727272728,-0.2848484848484848,-0.2681568428158433
