graph,category,series,value
success-progress,R0,success,0.3162393162393162
success-progress,R1,success,0.7435897435897436
success-progress,R2,success,1.0
success-progress,R3,success,0.9914529914529915
success-progress,R0,progress,0.3694314803029582
success-progress,R1,progress,0.7537497586149108
success-progress,R2,progress,0.9999978164519019
success-progress,R3,progress,0.9925753503923357
wake-profiles,R0,mean_wakes,1.6837606837606838
wake-profiles,R1,mean_wakes,0.9145299145299145
wake-profiles,R2,mean_wakes,1.794871794871795
wake-profiles,R3,mean_wakes,1.1196581196581197
family-heterogeneity,control-dr,LOW,1.0
family-heterogeneity,control-im,LOW,1.0
family-heterogeneity,motion-pat,LOW,1.0
family-heterogeneity,motion-tar,LOW,1.0
family-heterogeneity,semantic-o,LOW,1.0
family-heterogeneity,semantic-r,LOW,1.0
family-heterogeneity,control-dr,HIGH,1.0
family-heterogeneity,control-im,HIGH,1.0
family-heterogeneity,motion-pat,HIGH,0.9
family-heterogeneity,motion-tar,HIGH,1.0
family-heterogeneity,semantic-o,HIGH,1.0
family-heterogeneity,semantic-r,HIGH,1.0
controller-sensitivity,success,P4-P6,-0.28848484848484846
controller-sensitivity,progress,P4-P6,-0.2621682023742503
