draw_id,R3-R0:mission_success:sampled_seeds,R3-R0:safety_composite:sampled_seeds,R3-R0:progress:sampled_seeds,R3-R0:total_wakes:sampled_seeds,R3-R1:mission_success:sampled_seeds,R3-R1:safety_composite:sampled_seeds,R3-R1:progress:sampled_seeds,R3-R1:total_wakes:sampled_seeds,R3-R2:mission_success:sampled_seeds,R3-R2:safety_composite:sampled_seeds,R3-R2:progress:sampled_seeds,R3-R2:total_wakes:sampled_seeds,P4-P6:mission_success:sampled_seeds,P4-P6:progress:sampled_seeds,R3-R0:mission_success,R3-R0:safety_composite,R3-R0:progress,R3-R0:total_wakes,R3-R1:mission_success,R3-R1:safety_composite,R3-R1:progress,R3-R1:total_wakes,R3-R2:mission_success,R3-R2:safety_composite,R3-R2:progress,R3-R2:total_wakes,P4-P6:mission_success,P4-P6:progress
0,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262407|20262404|20262403|20262401|20262410|20262406|20262402|20262408|20262407|20262407,20262401|20262401|20262401|20262401|20262401,20262401|20262401|20262401|20262401|20262401,0.6700000000000002,0.0,0.6164694226449188,-0.5599999999999999,0.255,0.0,0.24445451746544097,0.17833333333333334,0.0,0.0,-2.4072459441174906e-08,-0.6599999999999999,-0.3333333333333333,-0.2781657210807722
1,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262407|20262401|20262404|20262409|20262404|20262401|20262402|20262407|20262407,20262401|20262401|20262401|20262401|20262402,20262401|20262401|20262401|20262401|20262402,0.6700000000000002,0.0,0.6189027001917224,-0.5683333333333332,0.23500000000000001,0.0,0.22511444209540293,0.16833333333333336,0.0,0.0,-4.251243839311266e-08,-0.68,-0.35,-0.29405043904996053
2,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262403|20262401|20262407|20262401|20262402|20262407|20262406|20262408|20262404|20262401,20262401|20262401|20262401|20262401|20262403,20262401|20262401|20262401|20262401|20262403,0.6666666666666667,0.0,0.6129078235991128,-0.5583333333333333,0.25,0.0,0.2393490453088226,0.175,0.0,0.0,-5.051836753181919e-08,-0.6666666666666667,-0.3333333333333333,-0.2780141809952314
3,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262404|20262408|20262406|20262403|20262410|20262408|20262405|20262405|20262408|20262409,20262401|20262401|20262401|20262401|20262404,20262401|20262401|20262401|20262401|20262404,0.6733333333333335,0.0,0.6196400492749932,-0.5449999999999999,0.24,0.0,0.229264469827813,0.19666666666666668,0.0,0.0,1.0303678503002326e-08,-0.6733333333333332,-0.35,-0.29471236791321165
4,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262409|20262409|20262405|20262405|20262403|20262409|20262404|20262408|20262406|20262402,20262401|20262401|20262401|20262401|20262405,20262401|20262401|20262401|20262401|20262405,0.6766666666666667,0.0,0.6280855298776044,-0.5633333333333334,0.205,0.0,0.1957391510800299,0.15499999999999997,0.0,0.0,6.242781037298546e-09,-0.7066666666666668,-0.31666666666666665,-0.26785247425136377
5,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262407|20262405|20262408|20262401|20262406|20262405|20262402|20262402|20262407,20262401|20262401|20262401|20262402|20262401,20262401|20262401|20262401|20262402|20262401,0.6666666666666667,0.0,0.6132059373262718,-0.5666666666666667,0.25,0.0,0.23948756177298672,0.15833333333333333,0.0,0.0,-2.9112736118127224e-08,-0.6666666666666667,-0.35,-0.29405043904996053
6,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262404|20262409|20262404|20262405|20262404|20262404|20262409|20262402|20262401|20262409,20262401|20262401|20262401|20262402|20262402,20262401|20262401|20262401|20262402|20262402,0.6766666666666667,0.0,0.6291417358365795,-0.5549999999999999,0.205,0.0,0.19605257900240464,0.1716666666666667,0.0,0.0,-1.1543041012103869e-08,-0.7066666666666667,-0.3666666666666667,-0.30993515701914887
7,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262405|20262403|20262401|20262405|20262401|20262409|20262409|20262404|20262403|20262405,20262401|20262401|20262401|20262402|20262403,20262401|20262401|20262401|20262402|20262403,0.6733333333333335,0.0,0.6221770654904427,-0.5783333333333334,0.22000000000000003,0.0,0.21003964319734553,0.16166666666666668,0.0,0.0,-1.6937721612301619e-09,-0.6933333333333334,-0.35,-0.29389889896441973
8,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262402|20262405|20262410|20262404|20262407|20262401|20262401|20262404|20262402|20262410,20262401|20262401|20262401|20262402|20262404,20262401|20262401|20262401|20262402|20262404,0.6733333333333335,0.0,0.6203356750929275,-0.57,0.25999999999999995,0.0,0.24962480316380803,0.1733333333333333,0.0,0.0,-5.484861414310298e-09,-0.6533333333333332,-0.3666666666666667,-0.3105970858824
9,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262403|20262405|20262403|20262404|20262404|20262410|20262410|20262408|20262407|20262408,20262401|20262401|20262401|20262402|20262405,20262401|20262401|20262401|20262402|20262405,0.6733333333333335,0.0,0.6184202759599084,-0.5533333333333333,0.26,0.0,0.24900184461067942,0.20666666666666664,0.0,0.0,1.0173645264011099e-08,-0.6533333333333333,-0.33333333333333337,-0.2837371922205521
