family,severity,architecture,n,success_rate,mean_progress
control-dropout,LOW,R0,10,1.0,0.9999975385889487
control-dropout,LOW,R1,10,1.0,0.9999974828786126
control-dropout,LOW,R2,10,1.0,0.9999976056837401
control-dropout,LOW,R3,10,1.0,0.9999975385889487
control-dropout,HIGH,R0,9,1.0,0.9999971767369141
control-dropout,HIGH,R1,9,0.0,0.0
control-dropout,HIGH,R2,9,1.0,0.9999974315004349
control-dropout,HIGH,R3,9,1.0,0.9999971767369141
control-impulse,LOW,R0,9,1.0,0.9999972961330843
control-impulse,LOW,R1,9,1.0,0.9999972961330843
control-impulse,LOW,R2,9,1.0,0.9999972961330843
control-impulse,LOW,R3,9,1.0,0.9999972961330843
control-impulse,HIGH,R0,10,1.0,0.9999976776068891
control-impulse,HIGH,R1,10,1.0,0.9999974966070828
control-impulse,HIGH,R2,10,1.0,0.9999976615468447
control-impulse,HIGH,R3,10,1.0,0.9999976776068891
motion-path-infeasible,LOW,R0,9,0.0,0.274134069106294
motion-path-infeasible,LOW,R1,9,0.0,0.06384548713852851
motion-path-infeasible,LOW,R2,9,1.0,0.9999977572651702
motion-path-infeasible,LOW,R3,9,1.0,0.9999977572651702
motion-path-infeasible,HIGH,R0,10,0.0,0.2689917361600448
motion-path-infeasible,HIGH,R1,10,0.0,0.06177320501895277
motion-path-infeasible,HIGH,R2,10,1.0,0.9999979403878786
motion-path-infeasible,HIGH,R3,10,1.0,0.9999979403878786
motion-target-shift,LOW,R0,10,0.0,0.0
motion-target-shift,LOW,R1,10,1.0,0.9999976581542447
motion-target-shift,LOW,R2,10,1.0,0.9999976688132929
motion-target-shift,LOW,R3,10,1.0,0.9999976688132929
motion-target-shift,HIGH,R0,10,0.0,0.0
motion-target-shift,HIGH,R1,10,1.0,0.9999976928420518
motion-target-shift,HIGH,R2,10,1.0,0.9999976824030806
motion-target-shift,HIGH,R3,10,1.0,0.9999976824030806
semantic-object-unavailable,LOW,R0,10,0.0,0.0020341690209362395
semantic-object-unavailable,LOW,R1,10,1.0,0.9999985065318485
semantic-object-unavailable,LOW,R2,10,1.0,0.9999984595960931
semantic-object-unavailable,LOW,R3,10,1.0,0.9999985065318485
semantic-object-unavailable,HIGH,R0,9,0.0,0.04574466262450219
semantic-object-unavailable,HIGH,R1,9,1.0,0.9999985376074993
semantic-object-unavailable,HIGH,R2,9,1.0,0.9999985126532667
semantic-object-unavailable,HIGH,R3,9,1.0,0.9999985376074993
semantic-restriction-change,LOW,R0,10,0.0,0.0021194455823505655
semantic-restriction-change,LOW,R1,10,1.0,0.9999984648138309
semantic-restriction-change,LOW,R2,10,1.0,0.9999984098421161
semantic-restriction-change,LOW,R3,10,1.0,0.9999984648138309
semantic-restriction-change,HIGH,R0,10,0.0,0.0468723966960765
semantic-restriction-change,HIGH,R1,10,1.0,0.9999984989208521
semantic-restriction-change,HIGH,R2,10,1.0,0.9999984683575576
semantic-restriction-change,HIGH,R3,10,1.0,0.9999984989208521
