run,variant,event_stratum,cases,successes,mission_success_fraction,success_wilson95_low,success_wilson95_high,forbidden_region_violations,invalid_affordance_choices,invalid_initial_plans,replans,stale_belief_failures,mean_replanning_latency_us,mean_route_cost_m,mean_context_facts,mean_geometry_queries,mean_semantic_queries
a,T0,INSTRUCTION_CHANGED,45,0,0.000000,0.000000,0.078652,0,19,26,0,0,0.000000,6.179342,15.000000,1.000000,0.000000
a,T0,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,0,0,12,0,0,0.000000,11.143016,15.000000,1.000000,0.000000
a,T0,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,0,0,4,0,0,0.000000,11.269240,15.000000,1.000000,0.000000
a,T0,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,0,0.000000,0.000000,0.168179,0,13,6,0,0,0.000000,3.276226,15.000000,1.000000,0.000000
a,T0,NONE,176,0,0.000000,0.000000,0.021360,0,88,88,0,0,0.000000,5.303783,15.000000,1.000000,0.000000
a,T0,ROOM_RESTRICTED,44,0,0.000000,0.000000,0.080296,0,0,44,0,0,0.000000,11.149403,15.000000,1.000000,0.000000
a,T0,ROOM_RESTRICTED+ROUTE_BLOCKED,20,0,0.000000,0.000000,0.161125,0,0,20,0,0,0.000000,11.241488,15.000000,1.000000,0.000000
a,T0,ROUTE_BLOCKED,80,0,0.000000,0.000000,0.045818,0,40,40,0,0,0.000000,5.255530,15.000000,1.000000,0.000000
a,T1,INSTRUCTION_CHANGED,45,14,0.311111,0.195287,0.456648,0,19,10,45,0,21.311111,6.088889,21.000000,1.000000,0.000000
a,T1,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,12,0,5,12,0,35.000000,11.000000,21.000000,1.000000,0.000000
a,T1,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,4,0,2,4,0,35.000000,11.000000,21.000000,1.000000,0.000000
a,T1,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,3,0.157895,0.055205,0.375655,0,13,2,19,0,14.368421,3.263158,21.000000,1.000000,0.000000
a,T1,NONE,176,40,0.227273,0.171574,0.294622,0,88,34,0,0,0.000000,5.267045,21.000000,1.000000,0.000000
a,T1,ROOM_RESTRICTED,44,0,0.000000,0.000000,0.080296,44,0,28,0,0,0.000000,11.000000,21.000000,1.000000,0.000000
a,T1,ROOM_RESTRICTED+ROUTE_BLOCKED,20,0,0.000000,0.000000,0.161125,20,0,11,0,0,0.000000,11.000000,21.000000,1.000000,0.000000
a,T1,ROUTE_BLOCKED,80,20,0.250000,0.168062,0.354847,0,40,15,0,0,0.000000,5.212500,21.000000,1.000000,0.000000
a,T2,INSTRUCTION_CHANGED,45,26,0.577778,0.433008,0.710313,0,0,14,45,1,25.977778,8.311111,13.000000,1.000000,1.000000
a,T2,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,12,0,5,12,0,35.000000,11.000000,13.000000,1.000000,1.000000
a,T2,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,4,0,2,4,0,35.000000,11.000000,13.000000,1.000000,1.000000
a,T2,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,10,0.526316,0.317078,0.726702,0,0,4,19,4,21.000000,6.421053,13.000000,1.000000,1.000000
