run,variant,mission,cases,successes,mission_success_fraction,success_wilson95_low,success_wilson95_high,forbidden_region_violations,invalid_affordance_choices,invalid_initial_plans,replans,stale_belief_failures,mean_replanning_latency_us,mean_route_cost_m,mean_context_facts,mean_geometry_queries,mean_semantic_queries
a,T0,INSPECT_NEAREST_COOLANT,80,0,0.000000,0.000000,0.045818,0,80,0,0,0,0.000000,0.000000,15.000000,1.000000,0.000000
a,T0,INSPECT_VALVE7_WITH_ALTERNATE,80,0,0.000000,0.000000,0.045818,0,0,80,0,0,0.000000,11.179729,15.000000,1.000000,0.000000
a,T0,REACH_PUMP2_WITH_RECHARGE,80,0,0.000000,0.000000,0.045818,0,0,80,0,0,0.000000,9.998107,15.000000,1.000000,0.000000
a,T0,REPLAN_ON_RESTRICTION,80,0,0.000000,0.000000,0.045818,0,0,80,0,0,0.000000,11.177458,15.000000,1.000000,0.000000
a,T0,STORE_CARRIED_TOOL,80,0,0.000000,0.000000,0.045818,0,80,0,0,0,0.000000,0.000000,15.000000,1.000000,0.000000
a,T1,INSPECT_NEAREST_COOLANT,80,0,0.000000,0.000000,0.045818,0,80,0,16,0,1.400000,0.000000,21.000000,1.000000,0.000000
a,T1,INSPECT_VALVE7_WITH_ALTERNATE,80,37,0.462500,0.357480,0.570956,0,0,43,16,0,7.000000,11.000000,21.000000,1.000000,0.000000
a,T1,REACH_PUMP2_WITH_RECHARGE,80,40,0.500000,0.392974,0.607026,0,0,18,16,0,5.600000,10.000000,21.000000,1.000000,0.000000
a,T1,REPLAN_ON_RESTRICTION,80,0,0.000000,0.000000,0.045818,80,0,46,16,0,7.000000,11.000000,21.000000,1.000000,0.000000
a,T1,STORE_CARRIED_TOOL,80,0,0.000000,0.000000,0.045818,0,80,0,16,0,1.400000,0.000000,21.000000,1.000000,0.000000
a,T2,INSPECT_NEAREST_COOLANT,80,40,0.500000,0.392974,0.607026,0,0,22,16,26,5.600000,10.000000,13.000000,1.000000,1.000000
a,T2,INSPECT_VALVE7_WITH_ALTERNATE,80,37,0.462500,0.357480,0.570956,0,0,43,16,0,7.000000,11.000000,13.000000,1.000000,1.000000
a,T2,REACH_PUMP2_WITH_RECHARGE,80,40,0.500000,0.392974,0.607026,0,0,18,16,0,5.600000,10.000000,13.000000,1.000000,1.000000
a,T2,REPLAN_ON_RESTRICTION,80,0,0.000000,0.000000,0.045818,80,0,46,16,0,7.000000,11.000000,13.000000,1.000000,1.000000
a,T2,STORE_CARRIED_TOOL,80,44,0.550000,0.441195,0.654223,0,0,0,16,0,1.400000,0.000000,13.000000,1.000000,1.000000
a,T3,INSPECT_NEAREST_COOLANT,80,58,0.725000,0.618559,0.810822,0,0,22,16,0,5.075000,7.250000,15.000000,1.325000,1.000000
a,T3,INSPECT_VALVE7_WITH_ALTERNATE,80,59,0.737500,0.631810,0.821426,0,0,17,16,0,6.212500,10.725000,15.000000,1.000000,1.000000
a,T3,REACH_PUMP2_WITH_RECHARGE,80,62,0.775000,0.672132,0.852668,0,0,18,16,0,5.250000,7.750000,15.000000,1.000000,1.000000
a,T3,REPLAN_ON_RESTRICTION,80,64,0.800000,0.699538,0.872972,0,0,14,52,0,17.062500,9.600000,15.000000,1.000000,1.000000
a,T3,STORE_CARRIED_TOOL,80,67,0.837500,0.741571,0.902502,0,0,10,16,0,2.450000,2.012500,15.000000,1.000000,1.000000
a,T4,INSPECT_NEAREST_COOLANT,80,58,0.725000,0.618559,0.810822,0,0,22,16,0,5.075000,7.250000,15.650000,1.325000,1.000000
a,T4,INSPECT_VALVE7_WITH_ALTERNATE,80,72,0.900000,0.814893,0.948452,0,0,0,16,0,6.125000,10.337500,15.775000,1.000000,1.000000
a,T4,REACH_PUMP2_WITH_RECHARGE,80,62,0.775000,0.672132,0.852668,0,0,18,16,0,5.250000,7.750000,15.762500,1.000000,1.000000
a,T4,REPLAN_ON_RESTRICTION,80,64,0.800000,0.699538,0.872972,0,0,0,41,0,13.825000,9.600000,15.687500,1.000000,1.000000
