run,variant,scope,cases,successes,mission_success_fraction,success_wilson95_low,success_wilson95_high,forbidden_region_violations,invalid_affordance_choices,invalid_initial_plans,replans,stale_belief_failures,mean_replanning_latency_us,mean_route_cost_m,mean_context_facts,mean_geometry_queries,mean_semantic_queries
a,T0,ALL_CASES,400,0,0.000000,0.000000,0.009512,0,160,240,0,0,0.000000,6.471059,15.000000,1.000000,0.000000
a,T1,ALL_CASES,400,77,0.192500,0.156861,0.233989,80,160,107,80,0,4.480000,6.400000,21.000000,1.000000,0.000000
a,T2,ALL_CASES,400,161,0.402500,0.355589,0.451266,80,0,129,80,26,5.320000,8.400000,13.000000,1.000000,1.000000
a,T3,ALL_CASES,400,310,0.775000,0.731573,0.813195,0,0,81,116,0,7.210000,7.467500,15.000000,1.065000,1.000000
a,T4,ALL_CASES,400,323,0.807500,0.766011,0.843139,0,0,50,105,0,6.545000,7.390000,15.695000,1.065000,1.000000
b,T0,ALL_CASES,400,0,0.000000,0.000000,0.009512,0,160,240,0,0,0.000000,6.471244,15.000000,1.000000,0.000000
b,T1,ALL_CASES,400,83,0.207500,0.170634,0.249931,80,160,92,80,0,4.480000,6.400000,21.000000,1.000000,0.000000
b,T2,ALL_CASES,400,165,0.412500,0.365312,0.461353,80,0,116,80,26,5.320000,8.400000,13.000000,1.000000,1.000000
b,T3,ALL_CASES,400,316,0.790000,0.747421,0.827062,0,0,68,125,0,8.102500,7.435000,15.000000,1.065000,1.000000
b,T4,ALL_CASES,400,324,0.810000,0.768676,0.845426,0,0,44,114,0,7.472500,7.372500,15.605000,1.065000,1.000000
